timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:background,data.currentMouseElement_element:item,data.currentMouseElement_element:item:option,data.currentMouseElement_element:item:text,data.currentMouseElement_element:navbar-bottom
1612448772446,0.5691489361702128,0.8035892323030908,856,806,856,877,1504,1003,0,0,0,0,0,0,0,1
1612448772505,0.5691489361702128,0.8035892323030908,856,806,856,877,1504,1003,0,0,0,0,0,0,0,1
1612448772569,0.5691489361702128,0.8035892323030908,856,806,856,877,1504,1003,0,0,0,0,0,0,0,1
1612448772623,0.5691489361702128,0.8035892323030908,856,806,856,877,1504,1003,0,0,0,0,0,0,0,1
1612448772676,0.5691489361702128,0.8035892323030908,856,806,856,877,1504,1003,0,0,0,0,0,0,0,1
1612448848681,0.38430851063829785,0.806580259222333,578,809,578,880,1504,1003,1,0,0,1,0,0,0,0
1612448848737,0.3836436170212766,0.8075772681954138,577,810,577,880,1504,1003,0,0,0,1,0,0,0,0
1612448849010,0.39228723404255317,0.8095712861415753,590,812,590,882,1504,1003,0,0,0,0,0,0,0,1
1612448849061,0.4029255319148936,0.8095712861415753,606,812,606,882,1504,1003,0,0,0,0,0,0,0,1
1612448849113,0.40824468085106386,0.806580259222333,614,809,614,880,1504,1003,0,0,0,0,0,0,0,1
1612448849165,0.4109042553191489,0.7996011964107677,618,802,618,873,1504,1003,0,0,0,0,0,0,0,1
1612448849217,0.4148936170212766,0.7886340977068793,624,791,624,862,1504,1003,0,0,0,0,0,0,0,1
1612448849268,0.42021276595744683,0.7786640079760718,632,781,632,852,1504,1003,0,0,0,0,0,0,0,1
1612448849373,0.4321808510638298,0.7278165503489531,650,730,650,800,1504,1003,0,0,0,1,0,0,0,0
1612448849429,0.4328457446808511,0.7028913260219342,651,705,651,776,1504,1003,0,0,0,1,0,0,0,0
1612448849480,0.43351063829787234,0.6989032901296112,652,701,652,772,1504,1003,0,0,0,1,0,0,0,0
1612448849531,0.43683510638297873,0.6959122632103689,657,698,657,769,1504,1003,0,0,0,1,0,0,0,0
1612448849581,0.43882978723404253,0.6959122632103689,660,698,660,769,1504,1003,0,0,0,1,0,0,0,0
1612448849632,0.4607712765957447,0.7178464606181456,693,720,693,790,1504,1003,0,0,0,1,0,0,0,0
1612448849684,0.4740691489361702,0.7517447657028913,713,754,713,825,1504,1003,0,0,0,1,0,0,0,0
1612448849736,0.4767287234042553,0.7816550348953141,717,784,717,854,1504,1003,0,0,0,0,0,0,0,1
1612448849787,0.4740691489361702,0.7986041874376869,713,801,713,872,1504,1003,0,0,0,0,0,0,0,1
1612448849838,0.4660904255319149,0.8045862412761715,701,807,701,878,1504,1003,0,0,0,0,0,0,0,1
1612448849890,0.46143617021276595,0.8075772681954138,694,810,694,881,1504,1003,0,0,0,0,0,0,0,1
1612448849941,0.456781914893617,0.8085742771684945,687,811,687,882,1504,1003,0,0,0,0,0,0,0,1
1612448849992,0.4288563829787234,0.8015952143569293,645,804,645,874,1504,1003,0,0,0,0,0,0,0,1
1612448850043,0.42486702127659576,0.8005982053838484,639,803,639,874,1504,1003,0,0,0,0,0,0,0,1
1612448850094,0.42486702127659576,0.8005982053838484,639,803,639,874,1504,1003,0,0,0,0,0,0,0,1
1612448850146,0.4242021276595745,0.8005982053838484,638,803,638,874,1504,1003,0,0,0,0,0,0,0,1
1612448850197,0.4242021276595745,0.8005982053838484,638,803,638,874,1504,1003,0,0,0,0,0,0,0,1
1612448850249,0.4321808510638298,0.8075772681954138,650,810,650,880,1504,1003,0,0,0,0,0,0,0,1
1612448850300,0.511968085106383,0.8195413758723828,770,822,770,892,1504,1003,0,0,0,0,0,0,0,1
