timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:background,data.currentMouseElement_element:item,data.currentMouseElement_element:item:answer,data.currentMouseElement_element:item:text,data.currentMouseElement_element:navbar-bottom
1612448889106,0.32734375,0.56875,838,819,3178,1333,2560,1440,0,0,0,0,0,0,0,1
1612448888761,0.339453125,0.5694444444444444,869,820,3224,1334,2560,1440,0,0,0,0,0,0,0,1
1612448888853,0.33203125,0.5694444444444444,850,820,3195,1334,2560,1440,0,0,0,0,0,0,0,1
1612448888904,0.32734375,0.56875,838,819,3178,1333,2560,1440,0,0,0,0,0,0,0,1
1612448888955,0.32734375,0.56875,838,819,3178,1333,2560,1440,0,0,0,0,0,0,0,1
1612448889005,0.32734375,0.56875,838,819,3178,1333,2560,1440,0,0,0,0,0,0,0,1
1612448889055,0.32734375,0.56875,838,819,3178,1333,2560,1440,0,0,0,0,0,0,0,1
1612448889106,0.32734375,0.56875,838,819,3178,1333,2560,1440,0,0,0,0,0,0,0,1
1612448894730,0.33984375,0.5680555555555555,870,818,3225,1331,2560,1440,0,0,0,0,0,0,0,1
1612448894794,0.33984375,0.5680555555555555,870,818,3225,1331,2560,1440,0,0,0,0,0,0,0,1
1612448894844,0.34765625,0.5680555555555555,890,818,3255,1331,2560,1440,0,0,0,0,0,0,0,1
1612448894895,0.35625,0.5680555555555555,912,818,3288,1332,2560,1440,0,0,0,0,0,0,0,1
1612448894945,0.357421875,0.5680555555555555,915,818,3293,1332,2560,1440,0,0,0,0,0,0,0,1
1612448894996,0.357421875,0.5680555555555555,915,818,3293,1332,2560,1440,0,0,0,0,0,0,0,1
1612448895047,0.357421875,0.5680555555555555,915,818,3293,1332,2560,1440,0,0,0,0,0,0,0,1
1612448895097,0.357421875,0.5680555555555555,915,818,3293,1332,2560,1440,0,0,0,0,0,0,0,1
1612448895599,0.340625,0.56875,872,819,3228,1333,2560,1440,0,0,0,0,0,0,0,1
1612448895697,0.3328125,0.5680555555555555,852,818,3198,1332,2560,1440,0,0,0,0,0,0,0,1
1612448895747,0.32890625,0.5673611111111111,842,817,3184,1330,2560,1440,0,0,0,0,0,0,0,1
1612448895798,0.32890625,0.5673611111111111,842,817,3184,1330,2560,1440,0,0,0,0,0,0,0,1
1612448895848,0.32890625,0.5673611111111111,842,817,3184,1330,2560,1440,0,0,0,0,0,0,0,1
1612448895899,0.32890625,0.5673611111111111,842,817,3184,1330,2560,1440,0,0,0,0,0,0,0,1
1612448921152,0.34609375,0.5708333333333333,886,822,3249,1337,2560,1440,1,0,0,0,0,0,0,1
1612448921203,0.34609375,0.5708333333333333,886,822,3249,1337,2560,1440,0,0,0,0,0,0,0,1
1612448921266,0.34609375,0.5708333333333333,886,822,3249,1337,2560,1440,0,0,0,0,0,0,0,1
1612448921317,0.35,0.5694444444444444,896,820,3265,1334,2560,1440,0,0,0,0,0,0,0,1
1612448921367,0.35234375,0.5694444444444444,902,820,3273,1334,2560,1440,0,0,0,0,0,0,0,1
1612448921418,0.353125,0.5694444444444444,904,820,3277,1334,2560,1440,0,0,0,0,0,0,0,1
1612448921469,0.35390625,0.56875,906,819,3280,1333,2560,1440,0,0,0,0,0,0,0,1
1612448921519,0.355859375,0.56875,911,819,3287,1333,2560,1440,0,0,0,0,0,0,0,1
1612448921570,0.35703125,0.56875,914,819,3291,1333,2560,1440,0,0,0,0,0,0,0,1
1612448921621,0.357421875,0.56875,915,819,3293,1333,2560,1440,0,0,0,0,0,0,0,1
1612448921672,0.358203125,0.56875,917,819,3296,1333,2560,1440,0,0,0,0,0,0,0,1
1612448921723,0.358203125,0.56875,917,819,3296,1333,2560,1440,0,0,0,0,0,0,0,1
1612448921773,0.358203125,0.56875,917,819,3296,1333,2560,1440,0,0,0,0,0,0,0,1
1612448921824,0.358203125,0.56875,917,819,3296,1333,2560,1440,0,0,0,0,0,0,0,1
1612448921874,0.358203125,0.56875,917,819,3296,1333,2560,1440,0,0,0,0,0,0,0,1
1612448921925,0.358203125,0.56875,917,819,3296,1333,2560,1440,0,0,0,0,0,0,0,1
1612448921976,0.358203125,0.56875,917,819,3296,1333,2560,1440,0,0,0,0,0,0,0,1
1612448922027,0.358203125,0.56875,917,819,3296,1333,2560,1440,0,0,0,0,0,0,0,1
1612448922077,0.358203125,0.56875,917,819,3296,1333,2560,1440,0,0,0,0,0,0,0,1
1612448922128,0.358203125,0.56875,917,819,3296,1333,2560,1440,0,0,0,0,0,0,0,1
1612448922179,0.358203125,0.56875,917,819,3296,1333,2560,1440,0,0,0,0,0,0,0,1
1612448922230,0.358203125,0.56875,917,819,3296,1333,2560,1440,0,0,0,0,0,0,0,1
1612448922280,0.358203125,0.56875,917,819,3296,1333,2560,1440,0,0,0,0,0,0,0,1
1612448922331,0.358203125,0.56875,917,819,3296,1333,2560,1440,0,0,0,0,0,0,0,1
1612448922382,0.358203125,0.56875,917,819,3296,1333,2560,1440,0,0,0,0,0,0,0,1
1612448922433,0.358203125,0.56875,917,819,3296,1333,2560,1440,0,0,0,0,0,0,0,1
1612448922484,0.358203125,0.56875,917,819,3296,1333,2560,1440,0,0,0,0,0,0,0,1
1612448922534,0.358203125,0.56875,917,819,3296,1333,2560,1440,0,0,0,0,0,0,0,1
1612448922585,0.358203125,0.56875,917,819,3296,1333,2560,1440,0,0,0,0,0,0,0,1
1612448926060,0.34765625,0.5652777777777778,890,814,3255,1326,2560,1440,0,0,0,1,0,0,0,0
1612448926164,0.353515625,0.5652777777777778,905,814,3278,1325,2560,1440,0,0,0,0,0,0,0,1
1612448926215,0.3546875,0.5652777777777778,908,814,3283,1325,2560,1440,0,0,0,0,0,0,0,1
1612448926265,0.35546875,0.5652777777777778,910,814,3286,1325,2560,1440,0,0,0,0,0,0,0,1
1612448926316,0.35625,0.5652777777777778,912,814,3289,1325,2560,1440,0,0,0,0,0,0,0,1
1612448926367,0.35625,0.5652777777777778,912,814,3289,1325,2560,1440,0,0,0,0,0,0,0,1
1612448926418,0.35625,0.5652777777777778,912,814,3289,1325,2560,1440,0,0,0,0,0,0,0,1
1612448926468,0.35625,0.5652777777777778,912,814,3289,1325,2560,1440,0,0,0,0,0,0,0,1
1612448926519,0.35625,0.5652777777777778,912,814,3289,1325,2560,1440,0,0,0,0,0,0,0,1
1612448932582,0.34453125,0.56875,882,819,3243,1333,2560,1440,1,0,0,0,0,0,0,1
1612448932633,0.347265625,0.56875,889,819,3254,1333,2560,1440,0,0,0,1,0,0,0,0
1612448932760,0.35625,0.5694444444444444,912,820,3288,1334,2560,1440,0,0,0,0,0,0,0,1
1612448932810,0.35625,0.5694444444444444,912,820,3288,1334,2560,1440,0,0,0,0,0,0,0,1
1612448932864,0.35625,0.5694444444444444,912,820,3288,1334,2560,1440,0,0,0,0,0,0,0,1
1612448932916,0.35625,0.5694444444444444,912,820,3288,1334,2560,1440,0,0,0,0,0,0,0,1
1612448932966,0.35625,0.5694444444444444,912,820,3288,1334,2560,1440,0,0,0,0,0,0,0,1
1612448935544,0.3453125,0.5694444444444444,884,820,3247,1335,2560,1440,0,0,0,1,0,0,0,0
1612448935608,0.35546875,0.5694444444444444,910,820,3286,1334,2560,1440,0,0,0,0,0,0,0,1
1612448935658,0.35546875,0.5694444444444444,910,820,3286,1334,2560,1440,0,0,0,0,0,0,0,1
1612448935709,0.35546875,0.5694444444444444,910,820,3286,1334,2560,1440,0,0,0,0,0,0,0,1
1612448935810,0.35546875,0.5694444444444444,910,820,3286,1334,2560,1440,0,0,0,0,0,0,0,1
1612448935861,0.35546875,0.5694444444444444,910,820,3286,1334,2560,1440,0,0,0,0,0,0,0,1
1612448937848,0.3453125,0.5694444444444444,884,820,3246,1335,2560,1440,1,0,0,1,0,0,0,0
1612448937912,0.353125,0.5694444444444444,904,820,3277,1335,2560,1440,0,0,0,0,0,0,0,1
1612448937962,0.35390625,0.5694444444444444,906,820,3279,1335,2560,1440,0,0,0,0,0,0,0,1
1612448938013,0.35390625,0.5694444444444444,906,820,3279,1335,2560,1440,0,0,0,0,0,0,0,1
1612448938063,0.35390625,0.5694444444444444,906,820,3279,1335,2560,1440,0,0,0,0,0,0,0,1
1612448938114,0.35390625,0.5694444444444444,906,820,3279,1335,2560,1440,0,0,0,0,0,0,0,1
1612448938165,0.35390625,0.5694444444444444,906,820,3279,1335,2560,1440,0,0,0,0,0,0,0,1
1612448938220,0.35390625,0.5694444444444444,906,820,3279,1335,2560,1440,0,0,0,0,0,0,0,1
1612448938271,0.35390625,0.5694444444444444,906,820,3279,1335,2560,1440,0,0,0,0,0,0,0,1
1612448940261,0.358984375,0.5694444444444444,919,820,3299,1334,2560,1440,0,0,0,1,0,0,0,0
1612448940347,0.3609375,0.5694444444444444,924,820,3307,1335,2560,1440,0,0,0,1,0,0,0,0
